timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
368055110,0,0.0,-0.0,0.99512196,0.0,0.0,0.0,0.0,0.0
368249908,0,0.0,-0.0,0.997561,0.0,0.0,0.0,0.0,0.0
368269173,0,0.0,-0.0,0.99268293,0.0,0.0,0.0,0.0,0.0
368291535,0,0.0,-0.0,0.9780488,0.0,0.0,0.0,0.0,0.0
368466469,0,0.0,-0.0,0.96829265,0.0,0.0,0.0,0.0,0.0
368552411,0,0.0,-0.0,0.30243903,0.0,0.0,0.0,0.0,0.0
368596363,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
368897170,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
369198975,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
369501245,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
369802057,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
370121358,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
370430271,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
370746795,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
371046818,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
371367307,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
371689656,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
371990386,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
372075178,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
372095703,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
372180977,0,0.0,-0.0,0.0,0.15421687,0.0,0.0,0.0,0.0
372287754,0,0.0,-0.0,0.0,0.2746988,0.0,0.0,0.0,0.0
372370027,0,0.0,-0.0,0.0,0.3253012,0.0,0.0,0.0,0.0
372499035,0,0.0,-0.0,0.0,0.32650602,0.0,0.0,0.0,0.0
372588864,0,0.0,-0.0,0.0,0.32891566,0.0,0.0,0.0,0.0
372674944,0,0.0,-0.0,0.0,0.33493975,0.0,0.0,0.0,0.0
372783411,0,0.0,-0.0,0.0,0.3421687,0.0,0.0,0.0,0.0
372909742,0,0.0,-0.0,0.0,0.34457833,0.0,0.0,0.0,0.0
372996910,0,0.0,-0.0,0.0,0.3566265,0.0,0.0,0.0,0.0
373085339,0,0.0,-0.0,0.0,0.3819277,0.0,0.0,0.0,0.0
373170370,0,0.0,-0.0,0.0,0.3987952,0.0,0.0,0.0,0.0
373278406,0,0.0,-0.0,0.0,0.4626506,0.0,0.0,0.0,0.0
373388181,0,0.0,-0.0,0.0,0.47831327,0.0,0.0,0.0,0.0
373475124,0,0.0,-0.0,0.0,0.48554218,0.0,0.0,0.0,0.0
373559847,0,0.0,-0.0,0.0,0.4927711,0.0,0.0,0.0,0.0
373686168,0,0.0,-0.0,0.0,0.51686746,0.0,0.0,0.0,0.0
373728120,0,0.0,-0.0,0.0,0.5301205,0.0,0.0,0.0,0.0
373881049,0,0.0,-0.0,0.0,0.560241,0.0,0.0,0.0,0.0
373989323,0,0.0,-0.0,0.0,0.5674699,0.0,0.0,0.0,0.0
374076189,0,0.0,-0.0,0.0,0.58554214,0.0,0.0,0.0,0.0
374185295,0,0.0,-0.0,0.0,0.6060241,0.0,0.0,0.0,0.0
374288646,0,0.0,-0.0,0.0,0.6192771,0.0,0.0,0.0,0.0
374352629,0,0.0,-0.0,0.0,0.6325301,0.0,0.0,0.0,0.0
374478900,0,0.0,-0.0,0.0,0.6457831,0.0,0.0,0.0,0.0
374590492,0,0.0,-0.0,0.0,0.67951804,0.0,0.0,0.0,0.0
374679389,0,0.0,-0.0,0.0,0.70843375,0.0,0.0,0.0,0.0
374786684,0,0.0,-0.0,0.0,0.7493976,0.0,0.0,0.0,0.0
374883425,0,0.0,-0.0,0.0,0.760241,0.0,0.0,0.0,0.0
375198452,0,0.0,-0.0,0.0,0.760241,0.0,0.0,0.0,0.0
375243355,0,0.0,-0.0,0.0,0.7590361,0.0,0.0,0.0,0.0
375546079,0,0.0,-0.0,0.0,0.7590361,0.0,0.0,0.0,0.0
375566320,0,0.0,-0.0,0.0,0.75783134,0.0,0.0,0.0,0.0
375715794,0,0.0,-0.0,0.0,0.7361446,0.0,0.0,0.0,0.0
375737970,0,0.0,-0.0,0.0,0.7192771,0.0,0.0,0.0,0.0
375759256,0,0.0,-0.0,0.0,0.70843375,0.0,0.0,0.0,0.0
375867061,0,0.0,-0.0,0.0,0.70843375,0.0,0.0,0.0,0.0
376016817,0,0.0,-0.0,0.0,0.70843375,0.0,0.0,0.0,0.0
376322833,0,0.0,-0.0,0.0,0.70843375,0.0,0.0,0.0,0.0
376387367,0,0.0,-0.0,0.0,0.70843375,0.0,0.0,0.0,0.0
376431220,0,0.0,-0.0,0.0,0.7072289,0.0,0.0,0.0,0.0
376515994,0,0.0,-0.0,0.0,0.67951804,0.0,0.0,0.0,0.0
376537168,0,0.0,-0.0,0.0,0.673494,0.0,0.0,0.0,0.0
376626447,0,0.0,-0.0,0.0,0.6698795,0.0,0.0,0.0,0.0
376753988,0,0.0,-0.0,0.0,0.6698795,0.0,0.0,0.0,0.0
376924901,0,0.0,-0.0,0.0,0.6493976,0.0,0.0,0.0,0.0
377010696,0,0.0,-0.0,0.0,0.6361446,0.0,0.0,0.0,0.0
377115925,0,0.0,-0.0,0.0,0.6277108,0.0,0.0,0.0,0.0
377159100,0,0.0,-0.0,0.0,0.6240964,0.0,0.0,0.0,0.0
377356883,0,0.0,-0.0,0.0,0.6240964,0.0,0.0,0.0,0.0
377419698,0,0.0,-0.0,0.0,0.6253012,0.0,0.0,0.0,0.0
377463722,0,0.0,-0.0,0.0,0.62650603,0.0,0.0,0.0,0.0
377770462,0,0.0,-0.0,0.0,0.62650603,0.0,0.0,0.0,0.0
377815158,0,0.0,-0.0,0.0,0.6277108,0.0,0.0,0.0,0.0
377859114,0,0.0,-0.0,0.0,0.64819276,0.0,0.0,0.0,0.0
377935119,0,0.0,-0.0,0.0,0.66385543,0.0,0.0,0.0,0.0
378056896,0,0.0,-0.0,0.0,0.6650602,0.0,0.0,0.0,0.0
378166794,0,0.0,-0.0,0.0,0.67951804,0.0,0.0,0.0,0.0
378249771,0,0.0,-0.0,0.0,0.68915665,0.0,0.0,0.0,0.0
378566646,0,0.0,-0.0,0.0,0.68915665,0.0,0.0,0.0,0.0
378632402,0,0.0,-0.0,0.0,0.69036144,0.0,0.0,0.0,0.0
378695969,0,0.0,-0.0,0.0,0.6915663,0.0,0.0,0.0,0.0
378996805,0,0.0,-0.0,0.0,0.6915663,0.0,0.0,0.0,0.0
379020844,0,0.0,-0.0,0.0,0.6927711,0.0,0.0,0.0,0.0
379042854,0,0.0,-0.0,0.0,0.6939759,0.0,0.0,0.0,0.0
379235054,0,0.0,-0.0,0.0,0.69759035,0.0,0.0,0.0,0.0
379281484,0,0.0,-0.0,0.0,0.7180723,0.0,0.0,0.0,0.0
379304313,0,0.0,-0.0,0.0,0.7192771,0.0,0.0,0.0,0.0
379625398,0,0.0,-0.0,0.0,0.7192771,0.0,0.0,0.0,0.0
379927215,0,0.0,-0.0,0.0,0.7192771,0.0,0.0,0.0,0.0
380230321,0,0.0,-0.0,0.0,0.7192771,0.0,0.0,0.0,0.0
380405281,0,0.0,-0.0,0.0,0.72048193,0.0,0.0,0.0,0.0
380446691,0,0.0,-0.0,0.0,0.7216867,0.0,0.0,0.0,0.0
380490905,0,0.0,-0.0,0.0,0.72771084,0.0,0.0,0.0,0.0
380596401,0,0.0,-0.0,0.0,0.7216867,0.0,0.0,0.0,0.0
380702172,0,0.0,-0.0,0.0,0.72771084,0.0,0.0,0.0,0.0
380767262,0,0.0,-0.0,0.0,0.74216866,0.0,0.0,0.0,0.0
381070017,0,0.0,-0.0,0.0,0.74216866,0.0,0.0,0.0,0.0
381153956,0,0.0,-0.0,0.0,0.7373494,0.0,0.0,0.0,0.0
381174795,0,0.0,-0.0,0.0,0.713253,0.0,0.0,0.0,0.0
381264712,0,0.0,-0.0,0.0,0.6927711,0.0,0.0,0.0,0.0
381369823,0,0.0,-0.0,0.0,0.6698795,0.0,0.0,0.0,0.0
381412895,0,0.0,-0.0,0.0,0.6698795,0.0,0.0,0.0,0.0
381498258,0,0.0,-0.0,0.0,0.6698795,0.0,0.0,0.0,0.0
381650063,0,0.0,-0.0,0.0,0.6698795,0.0,0.0,0.0,0.0
381799708,0,0.0,-0.0,0.0,0.6698795,0.0,0.0,0.0,0.0
381822201,0,0.0,-0.0,0.0,0.6698795,0.0,0.0,0.0,0.0
382059044,0,0.0,-0.0,0.0,0.6698795,0.0,0.0,0.0,0.0
382165972,0,0.0,-0.0,0.0,0.6698795,0.0,0.0,0.0,0.0
382186688,0,0.0,-0.0,0.0,0.67108434,0.0,0.0,0.0,0.0
382253295,0,0.0,-0.0,0.0,0.6879518,0.0,0.0,0.0,0.0
382384250,0,0.0,-0.0,0.0,0.6939759,0.0,0.0,0.0,0.0
382468656,0,0.0,-0.0,0.0,0.760241,0.0,0.0,0.0,0.0
382554981,0,0.0,-0.0,0.0,0.77590364,0.0,0.0,0.0,0.0
382666044,0,0.0,-0.0,0.0,0.8,0.0,0.0,0.0,0.0
382711335,0,0.0,-0.0,0.0,0.80240965,0.0,0.0,0.0,0.0
382878848,0,0.0,-0.0,0.0,0.80361444,0.0,0.0,0.0,0.0
382966081,0,0.0,-0.0,0.0,0.8120482,0.0,0.0,0.0,0.0
383007424,0,0.0,-0.0,0.0,0.81445783,0.0,0.0,0.0,0.0
383309728,0,0.0,-0.0,0.0,0.81445783,0.0,0.0,0.0,0.0
383611815,0,0.0,-0.0,0.0,0.81445783,0.0,0.0,0.0,0.0
383848701,0,0.0,-0.0,0.0,0.8120482,0.0,0.0,0.0,0.0
383871344,0,0.0,-0.0,0.0,0.8120482,0.0,0.0,0.0,0.0
383935551,0,0.0,-0.0,0.0,0.7975904,0.0,0.0,0.0,0.0
384002598,0,0.0,-0.0,0.0,0.79879516,0.0,0.0,0.0,0.0
384128952,0,0.0,-0.0,0.0,0.7975904,0.0,0.0,0.0,0.0
384214292,0,0.0,-0.0,0.0,0.7686747,0.0,0.0,0.0,0.0
384340166,0,0.0,-0.0,0.0,0.7698795,0.0,0.0,0.0,0.0
384533241,0,0.0,-0.0,0.0,0.7710843,0.0,0.0,0.0,0.0
384554822,0,0.0,-0.0,0.0,0.77228916,0.0,0.0,0.0,0.0
384599604,0,0.0,-0.0,0.0,0.77590364,0.0,0.0,0.0,0.0
384812558,0,0.0,-0.0,0.0,0.7746988,0.0,0.0,0.0,0.0
384833546,0,0.0,-0.0,0.0,0.773494,0.0,0.0,0.0,0.0
384937437,0,0.0,-0.0,0.0,0.7698795,0.0,0.0,0.0,0.0
385024223,0,0.0,-0.0,0.0,0.76626503,0.0,0.0,0.0,0.0
385131256,0,0.0,-0.0,0.0,0.7518072,0.0,0.0,0.0,0.0
385221804,0,0.0,-0.0,0.0,0.72048193,0.0,0.0,0.0,0.0
385286627,0,0.0,-0.0,0.0,0.7216867,0.0,0.0,0.0,0.0
385433096,0,0.0,-0.0,0.0,0.69036144,0.0,0.0,0.0,0.0
385545878,0,0.0,-0.0,0.0,0.6554217,0.0,0.0,0.0,0.0
385628908,0,0.0,-0.0,0.0,0.64457834,0.0,0.0,0.0,0.0
385758576,0,0.0,-0.0,0.0,0.64457834,0.0,0.0,0.0,0.0
385866636,0,0.0,-0.0,0.0,0.64457834,0.0,0.0,0.0,0.0
386174999,0,0.0,-0.0,0.0,0.64457834,0.0,0.0,0.0,0.0
386217212,0,0.0,-0.0,0.0,0.6457831,0.0,0.0,0.0,0.0
386259507,0,0.0,-0.0,0.0,0.6578313,0.0,0.0,0.0,0.0
386366960,0,0.0,-0.0,0.0,0.7855422,0.0,0.0,0.0,0.0
386453419,0,0.0,-0.0,0.0,0.79036146,0.0,0.0,0.0,0.0
386758246,0,0.0,-0.0,0.0,0.79036146,0.0,0.0,0.0,0.0
387060329,0,0.0,-0.0,0.0,0.79036146,0.0,0.0,0.0,0.0
387188521,0,0.0,-0.0,0.0,0.79036146,0.0,0.0,0.0,0.0
387209136,0,0.0,-0.0,0.0,0.7879518,0.0,0.0,0.0,0.0
387275292,0,0.0,-0.0,0.0,0.7506024,0.0,0.0,0.0,0.0
387360745,0,0.0,-0.0,0.0,0.6361446,0.0,0.0,0.0,0.0
387600397,0,0.0,-0.0,0.0,0.6361446,0.0,0.0,0.0,0.0
387795629,0,0.0,-0.0,0.0,0.63012046,0.0,0.0,0.0,0.0
387819281,0,0.0,-0.0,0.0,0.6277108,0.0,0.0,0.0,0.0
387882043,0,0.0,-0.0,0.0,0.6253012,0.0,0.0,0.0,0.0
388132338,0,0.0,-0.0,0.0,0.62289155,0.0,0.0,0.0,0.0
388144678,0,0.0,-0.0,0.0,0.6192771,0.0,0.0,0.0,0.0
388229565,0,0.0,-0.0,0.0,0.61445785,0.0,0.0,0.0,0.0
388273449,0,0.0,-0.0,0.0,0.60722893,0.0,0.0,0.0,0.0
388399576,0,0.0,-0.0,0.0,0.5891566,0.0,0.0,0.0,0.0
388465614,0,0.0,-0.0,0.0,0.5879518,0.0,0.0,0.0,0.0
388610870,0,0.0,-0.0,0.0,0.5879518,0.0,0.0,0.0,0.0
388715594,0,0.0,-0.0,0.0,0.5831325,0.0,0.0,0.0,0.0
388823565,0,0.0,-0.0,0.0,0.55903614,0.0,0.0,0.0,0.0
388844871,0,0.0,-0.0,0.0,0.55783135,0.0,0.0,0.0,0.0
389036400,0,0.0,-0.0,0.007317073,0.5409638,0.0,0.0,0.0,0.0
389123460,0,0.0,-0.0,0.0,0.4554217,0.0,0.0,0.0,0.0
389231578,0,0.0,-0.0,0.0,0.413253,0.0,0.0,0.0,0.0
389313710,0,0.0,-0.0,0.0,0.45301205,0.0,0.0,0.0,0.0
389421294,0,0.0,-0.0,0.0,0.4506024,0.0,0.0,0.0,0.0
389618089,0,0.0,-0.0,0.0,0.42771083,0.0,0.0,0.0,0.0
389642048,0,0.0,-0.0,0.0,0.39156628,0.0,0.0,0.0,0.0
389706806,0,0.0,-0.0,0.0,0.38433734,0.0,0.0,0.0,0.0
389879008,0,0.0,-0.0,0.0,0.3819277,0.0,0.0,0.0,0.0
389900960,0,0.0,-0.0,0.0,0.3746988,0.0,0.0,0.0,0.0
390034579,0,0.0,-0.0,0.0,0.3493976,0.0,0.0,0.0,0.0
390118772,0,0.0,-0.0,0.0,0.2686747,0.0,0.0,0.0,0.0
390226740,0,0.0,-0.0,0.0,0.3,0.0,0.0,0.0,0.0
390248104,0,0.0,-0.0,0.0,0.3048193,0.0,0.0,0.0,0.0
390403776,0,0.0,-0.0,0.0,0.2951807,0.0,0.0,0.0,0.0
390490004,0,0.0,-0.0,0.0,0.29277107,0.0,0.0,0.0,0.0
390644781,0,0.0,-0.0,0.0,0.28915662,0.0,0.0,0.0,0.0
390707780,0,0.0,-0.0,0.0,0.23855421,0.0,0.0,0.0,0.0
391009112,0,0.0,-0.0,0.0,0.23855421,0.0,0.0,0.0,0.0
391331461,0,0.0,-0.0,0.0,0.23855421,0.0,0.0,0.0,0.0
391373150,0,0.0,-0.0,0.0,0.23614457,0.0,0.0,0.0,0.0
391416777,0,0.0,-0.0,0.0,0.2060241,0.0,0.0,0.0,0.0
391503732,0,0.0,-0.0,0.0,0.2,0.0,0.0,0.0,0.0
391655099,0,0.0,-0.0,0.0,0.2,0.0,0.0,0.0,0.0
391724343,0,0.0,-0.0,0.0,0.19638555,0.0,0.0,0.0,0.0
391854031,0,0.0,-0.0,0.0,0.19638555,0.0,0.0,0.0,0.0
391939915,0,0.0,-0.0,0.0,0.19638555,0.0,0.0,0.0,0.0
392205247,0,0.0,-0.0,0.0,0.19518073,0.0,0.0,0.0,0.0
392346339,0,0.0,-0.0,0.0,0.19156626,0.0,0.0,0.0,0.0
392366515,0,0.0,-0.0,0.0,0.19036144,0.0,0.0,0.0,0.0
392430041,0,0.0,-0.0,0.0,0.18674698,0.0,0.0,0.0,0.0
392537885,0,0.0,-0.0,0.0,0.17108434,0.0,0.0,0.0,0.0
392600971,0,0.0,-0.0,0.0,0.0939759,0.0,0.0,0.0,0.0
392852351,0,0.0,-0.0,0.0,0.09518072,0.0,0.0,0.0,0.0
392872358,0,0.0,-0.0,0.0,0.09638554,0.0,0.0,0.0,0.0
392956149,0,0.0,-0.0,0.0,0.10963856,0.0,0.0,0.0,0.0
393044748,0,0.0,-0.0,0.0,0.13012049,0.0,0.0,0.0,0.0
393153885,0,0.0,-0.0,0.0,0.15783133,0.0,0.0,0.0,0.0
393225989,0,0.0,-0.0,0.0,0.17590362,0.0,0.0,0.0,0.0
393345967,0,0.0,-0.0,0.0,0.21084337,0.0,0.0,0.0,0.0
393646118,0,0.0,-0.0,0.0,0.21084337,0.0,0.0,0.0,0.0
393770094,0,0.0,-0.0,0.0,0.21204819,0.0,0.0,0.0,0.0
393814565,0,0.0,-0.0,0.0,0.21445782,0.0,0.0,0.0,0.0
393857416,0,0.0,-0.0,0.0,0.22168675,0.0,0.0,0.0,0.0
393966466,0,0.0,-0.0,0.0,0.20481928,0.0,0.0,0.0,0.0
394013333,0,0.0,-0.0,0.0,0.13373494,0.0,0.0,0.0,0.0
394207941,0,0.0,-0.0,0.0,0.13975903,0.0,0.0,0.0,0.0
394250846,0,0.0,-0.0,0.0,0.15421687,0.0,0.0,0.0,0.0
394338640,0,0.0,-0.0,0.0,0.2180723,0.0,0.0,0.0,0.0
394471092,0,0.0,-0.0,0.0,0.22168675,0.0,0.0,0.0,0.0
394557007,0,0.0,-0.0,0.0,0.2253012,0.0,0.0,0.0,0.0
394666715,0,0.0,-0.0,0.0,0.19759037,0.0,0.0,0.0,0.0
394709830,0,0.0,-0.0,0.0,0.17349398,0.0,0.0,0.0,0.0
394861356,0,0.0,-0.0,0.007317073,0.213253,0.0,0.0,0.0,0.0
394968727,0,0.0,-0.0,0.0,0.22771084,0.0,0.0,0.0,0.0
395033517,0,0.0,-0.0,0.0,0.22891566,0.0,0.0,0.0,0.0
395164264,0,0.0,-0.0,0.0,0.22891566,0.0,0.0,0.0,0.0
395257037,0,0.0,-0.0,0.0,0.23012048,0.0,0.0,0.0,0.0
395354769,0,0.0,-0.0,0.0,0.23253012,0.0,0.0,0.0,0.0
395462159,0,0.0,-0.0,0.0,0.3120482,0.0,0.0,0.0,0.0
395525775,0,0.0,-0.0,0.0,0.31325302,0.0,0.0,0.0,0.0
395654060,0,0.0,-0.0,0.0,0.27228916,0.0,0.0,0.0,0.0
395761646,0,0.0,-0.0,0.0,0.20963855,0.0,0.0,0.0,0.0
395847522,0,0.0,-0.0,0.0,0.21084337,0.0,0.0,0.0,0.0
395958556,0,0.0,-0.0,0.0,0.21204819,0.0,0.0,0.0,0.0
396045580,0,0.0,-0.0,0.0,0.21686748,0.0,0.0,0.0,0.0
