timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
368191457,1661229631800258,10944541,-63605794,1068245134,91524,92838,0.29500002,0.7194938,1.276,1.5330001,0.81,1.52,110,16,0.05,0.002,-0.05,0.05,6.043516,0,nan,0.0,6643,3,0,1,11
368991482,1661229632600259,10944541,-63605799,1068245133,91443,92757,0.27100003,0.71949816,1.274,1.531,0.81,1.52,110,16,0.020000001,-0.018000001,-0.008,0.102000006,6.043516,0,nan,0.0,6643,3,0,1,11
369990912,1661229633600261,10944541,-63605803,1068245131,91357,92671,0.32000002,0.71950376,1.2720001,1.5270001,0.82,1.52,110,14,0.033,0.001,-0.033,0.029000001,6.043516,0,nan,0.0,6643,3,0,1,11
370988420,1661229634600263,10944541,-63605809,1068245129,91254,92568,0.29200003,0.7195092,1.269,1.521,0.82,1.52,110,12,0.075,0.0050000004,0.075,-0.135,6.043516,0,nan,0.0,6643,3,0,1,11
371991411,1661229635600265,10944541,-63605813,1068245128,91157,92471,0.29000002,0.7195142,1.264,1.514,0.82,1.53,110,11,0.043,0.015000001,0.041,-0.079,6.043516,0,nan,0.0,6643,3,0,1,11
372985965,1661229636600267,10944541,-63605818,1068245128,91006,92320,0.256,0.7195197,1.2600001,1.508,0.82,1.53,110,15,0.042000003,-0.041,0.009000001,0.120000005,6.043516,0,nan,0.0,6643,3,0,1,11
373990699,1661229637600268,10944541,-63605822,1068245127,90901,92215,0.215,0.7195247,1.2550001,1.501,0.82,1.53,110,16,0.061000004,-0.053000003,0.030000001,0.013,6.043516,0,nan,0.0,6643,3,0,1,11
374990000,1661229638600270,10944541,-63605825,1068245127,90841,92155,0.29000002,0.7195299,1.251,1.4990001,0.82,1.53,110,9,0.069000006,0.027,0.064,-0.128,6.043516,0,nan,0.0,6643,3,0,1,11
375988436,1661229639600272,10944541,-63605830,1068245127,90779,92093,0.261,0.7195351,1.2470001,1.4950001,0.82,1.53,110,14,0.033,0.029000001,0.016,-0.040000003,6.043516,0,nan,0.0,6643,3,0,1,11
376985535,1661229640600274,10944541,-63605837,1068245128,91282,92596,0.273,0.7195439,1.245,1.501,1.03,1.8,110,15,0.109000005,-0.026,-0.106000006,-0.44900003,6.043516,0,nan,0.0,6643,3,0,1,9
377986450,1661229641600276,10944541,-63605841,1068245137,91750,93064,0.30100003,0.71955246,1.2470001,1.5120001,0.94,1.56,110,16,0.015000001,0.009000001,-0.012,-0.407,6.043516,0,nan,0.0,6643,3,0,1,9
378995070,1661229642600278,10944541,-63605834,1068245153,92391,93705,0.28300002,0.7195647,1.253,1.521,0.94,1.56,111,14,0.24900001,0.238,0.072000004,-0.63600004,6.043516,0,nan,0.0,6643,3,0,1,9
379994469,1661229643600280,10944541,-63605832,1068245164,92983,94297,0.317,0.71957743,1.2620001,1.5270001,0.82,1.53,110,10,0.13800001,-0.060000002,0.124000005,-0.648,6.043516,0,nan,0.0,6643,3,0,1,11
380993416,1661229644600282,10944541,-63605836,1068245161,93809,95123,0.29900002,0.66737485,1.2620001,1.5330001,0.82,1.53,110,8,0.08800001,-0.009000001,-0.087000005,-0.96800005,5.5409656,0,nan,0.0,6643,3,0,1,11
381992604,1661229645600283,10944541,-63605841,1068245161,95027,96341,0.282,0.66739553,1.261,1.531,0.82,1.53,110,16,0.22200002,0.11400001,-0.19000001,-0.883,5.5409656,0,nan,0.0,6643,3,0,1,11
382994459,1661229646600285,10944541,-63605839,1068245151,95686,97000,0.28100002,0.6573644,1.2620001,1.5330001,0.82,1.53,110,9,0.25100002,0.075,-0.23900001,-0.934,5.420151,0,nan,0.0,6643,3,0,1,11
383992748,1661229647600287,10944541,-63605837,1068245157,96713,98027,0.291,0.6573872,1.261,1.5370001,0.82,1.53,118,10,0.031000001,-0.023000002,-0.021000002,-1.1040001,5.420151,0,nan,0.0,6643,3,0,1,11
384994426,1661229648600289,10944541,-63605834,1068245167,97806,99120,0.287,0.65740883,1.258,1.539,0.82,1.53,109,14,0.072000004,-0.025,0.067,-0.943,5.420151,0,nan,0.0,6643,3,0,1,11
385995606,1661229649600291,10944541,-63605844,1068245179,98414,99728,0.27400002,0.72833306,1.2390001,1.5300001,0.82,1.53,109,13,0.028,0.028,-0.004,-0.42800003,5.200921,0,nan,0.0,6643,3,0,1,11
386995436,1661229650600293,10944541,-63605853,1068245195,98714,100028,0.26500002,0.72834176,1.22,1.5230001,0.82,1.53,109,11,0.127,0.085,-0.095000006,-0.72200006,5.200921,0,nan,0.0,6643,3,0,1,11
387994454,1661229651600295,10944541,-63605853,1068245195,99353,100667,0.264,0.73042285,1.2010001,1.5230001,0.82,1.53,109,11,0.279,0.132,-0.246,-0.45600003,5.2027097,0,nan,0.0,6643,3,0,1,11
388992728,1661229652600297,10944541,-63605863,1068245199,99161,100475,0.21300001,0.7566046,1.177,1.5180001,0.82,1.53,109,6,0.224,0.142,-0.17300001,-0.009000001,5.3214417,0,nan,0.0,6643,3,0,1,11
389994411,1661229653600298,10944541,-63605868,1068245203,98909,100223,0.252,0.7513588,1.1580001,1.516,0.82,1.53,109,10,0.21300001,0.126,-0.172,0.095000006,5.377568,0,nan,0.0,6643,3,0,1,11
390994428,1661229654600300,10944541,-63605866,1068245203,98591,99905,0.27600002,0.75136435,1.1420001,1.521,0.82,1.53,109,13,0.21800001,0.16000001,-0.149,0.202,5.377568,0,nan,0.0,6643,3,0,1,11
391995420,1661229655600302,10944541,-63605862,1068245201,98192,99507,0.25800002,0.56310165,1.1290001,1.5200001,0.82,1.53,109,9,0.333,0.22900002,-0.24200001,0.37300003,5.436833,0,nan,0.0,6643,3,0,1,11
392995414,1661229656600304,10944541,-63605854,1068245191,97644,98958,0.31300002,0.5006006,1.1190001,1.5230001,0.82,1.53,109,7,0.432,0.231,-0.36400002,0.73300004,5.321715,0,nan,0.0,6643,4,0,1,11
393995424,1661229657600306,10944541,-63605847,1068245181,96941,98255,0.31,0.5631087,1.116,1.5350001,0.82,1.53,109,15,0.36400002,0.20400001,-0.30100003,0.65400004,5.3379893,0,nan,0.0,6643,4,0,1,11
394991554,1661229658600308,10944541,-63605840,1068245180,96457,97771,0.28300002,0.74922186,1.1140001,1.5430001,0.82,1.53,108,15,0.040000003,0.040000003,0.002,0.586,5.4448237,0,nan,0.0,6643,4,0,1,11
395994423,1661229659600310,10944541,-63605832,1068245174,95798,97112,0.31,0.6231464,1.1120001,1.5460001,0.82,1.53,109,6,0.179,0.013,-0.178,0.48000002,5.5046906,0,nan,0.0,6643,4,0,1,11
396996418,1661229660600312,10944541,-63605832,1068245171,95413,96727,0.27800003,0.62315613,1.1120001,1.544,0.81,1.41,109,9,0.098000005,-0.054,-0.082,0.36800003,5.5046906,0,nan,0.0,6643,4,0,1,12
397991214,1661229661600313,10944541,-63605835,1068245163,95153,96467,0.272,0.6231642,1.11,1.5370001,0.81,1.41,109,13,0.066,-0.016,-0.064,0.33400002,5.5046906,0,nan,0.0,6643,4,0,1,12
398996630,1661229662600315,10944541,-63605832,1068245159,94927,96241,0.26900002,0.6231707,1.108,1.5300001,0.81,1.41,109,7,0.083000004,0.069000006,-0.047000002,0.287,5.5046906,0,nan,0.0,6643,4,0,1,12
399993422,1661229663600317,10944541,-63605827,1068245165,94596,95910,0.21200001,0.62317646,1.107,1.519,0.87,1.42,109,9,0.125,0.11100001,0.057000004,0.18800001,5.5046906,0,nan,0.0,6643,4,0,1,11
400992419,1661229664600319,10944541,-63605817,1068245162,94136,95451,0.28800002,0.62318635,1.1170001,1.5150001,0.87,1.42,109,15,0.165,0.134,-0.096,0.505,5.5046906,0,nan,0.0,6643,4,0,1,11
401997471,1661229665600321,10944541,-63605810,1068245152,93914,95228,0.286,0.7786757,1.12,1.5120001,0.81,1.41,109,9,0.16700001,0.033,-0.164,0.259,5.244034,0,nan,0.0,6643,4,0,1,12
402995583,1661229666600323,10944541,-63605813,1068245147,93645,94959,0.307,0.77868277,1.1240001,1.5200001,0.87,1.42,109,12,0.053000003,-0.039,-0.037,0.18300001,5.244034,0,nan,0.0,6643,4,0,1,11
403996417,1661229667600325,10944541,-63605823,1068245150,93522,94836,0.245,0.77090573,1.128,1.5220001,0.81,1.41,109,14,0.22500001,-0.101,0.201,0.066,0.51459235,0,nan,0.0,6643,4,0,1,12
404997027,1661229668600326,10944541,-63605822,1068245149,93002,94316,0.337,0.77091336,1.1370001,1.5330001,0.81,1.41,109,9,0.178,0.105000004,-0.143,0.42000002,0.51459235,0,nan,0.0,6643,4,0,1,12
405995582,1661229669600328,10944541,-63605818,1068245152,92729,94043,0.28800002,0.7223307,1.144,1.5350001,0.81,1.41,109,11,0.08400001,0.075,-0.039,0.41300002,5.9485116,0,nan,0.0,6643,4,0,1,12
406995414,1661229670600330,10944541,-63605811,1068245149,92576,93890,0.34800002,0.7223375,1.146,1.534,0.81,1.41,109,11,0.147,0.07700001,-0.125,0.20600002,5.9485116,0,nan,0.0,6643,4,0,1,12
407993418,1661229671600332,10944541,-63605807,1068245146,92245,93559,0.26000002,0.7223448,1.156,1.5480001,0.82,1.53,109,9,0.209,-0.008,0.208,0.26500002,5.9485116,0,nan,0.0,6643,4,0,1,11
408995427,1661229672600334,10944541,-63605801,1068245135,91789,93104,0.358,0.769612,1.171,1.5610001,0.82,1.53,109,12,0.143,0.028,-0.14,0.282,5.541716,0,nan,0.0,6643,4,0,1,11
410002501,1661229673600336,10944541,-63605800,1068245125,91504,92818,0.286,0.7696188,1.1730001,1.562,0.82,1.53,109,11,0.069000006,-0.004,-0.069000006,0.29900002,5.541716,0,nan,0.0,6643,4,0,1,11
410996418,1661229674600338,10944541,-63605802,1068245119,91347,92661,0.29200003,0.7696242,1.182,1.5790001,0.82,1.53,109,10,0.011000001,-0.011000001,-0.001,0.30800003,5.541716,0,nan,0.0,6643,4,0,1,11
411998436,1661229675600340,10944541,-63605816,1068245119,91565,92879,0.275,0.7696287,1.182,1.5810001,0.82,1.53,109,13,0.259,-0.23400001,0.113000005,-0.028,5.541716,0,nan,0.0,6643,4,0,1,11
412996658,1661229676600341,10944541,-63605822,1068245124,91436,92750,0.282,0.62396026,1.187,1.5830001,0.82,1.53,109,11,0.15,-0.05,0.142,0.215,0.86773074,0,nan,0.0,6643,4,0,1,11
414000416,1661229677600343,10944541,-63605818,1068245127,91175,92489,0.259,0.6239667,1.1860001,1.5710001,0.81,1.41,109,13,0.097,0.016,0.096,0.24700001,0.86773074,0,nan,0.0,6643,4,0,1,12
415001930,1661229678600345,10944541,-63605811,1068245128,90811,92125,0.32500002,0.62397736,1.2060001,1.5810001,0.81,1.41,109,11,0.113000005,0.113000005,0.0050000004,0.36400002,0.86773074,0,nan,0.0,6643,4,0,1,12
416001513,1661229679600347,10944541,-63605805,1068245129,90571,91885,0.27600002,0.6239845,1.212,1.5860001,0.81,1.41,110,16,0.051000003,0.042000003,0.028,0.15100001,0.86773074,0,nan,0.0,6643,4,0,1,12
416991521,1661229680600349,10944541,-63605800,1068245127,90299,91613,0.23300001,0.6239899,1.213,1.5860001,0.81,1.41,109,12,0.035,0.022000002,0.026,0.0050000004,0.86773074,0,nan,0.0,6643,4,0,1,12
417999478,1661229681600351,10944541,-63605800,1068245124,89928,91242,0.29500002,0.6239974,1.222,1.6020001,0.81,1.41,109,11,0.024,-0.017,0.017,0.14600001,0.86773074,0,nan,0.0,6643,4,0,1,12
418997419,1661229682600353,10944541,-63605804,1068245120,89593,90907,0.30900002,0.6240053,1.238,1.618,0.81,1.41,110,14,0.056,-0.053000003,-0.019000001,0.39100003,0.86773074,0,nan,0.0,6643,4,0,1,12
420000419,1661229683600355,10944541,-63605807,1068245122,89379,90693,0.3,0.624014,1.2550001,1.6320001,0.81,1.41,110,9,0.16900001,0.157,-0.062000003,0.16800001,0.86773074,0,nan,0.0,6643,4,0,1,12
421002635,1661229684600356,10944541,-63605808,1068245127,89284,90598,0.30600002,0.62402046,1.2590001,1.628,0.81,1.41,110,12,0.049000002,0.004,-0.049000002,0.065000005,0.86773074,0,nan,0.0,6643,4,0,1,12
422005421,1661229685600358,10944541,-63605811,1068245131,89102,90416,0.28100002,0.6240266,1.2540001,1.6170001,0.81,1.41,110,10,0.025,-0.004,-0.025,0.041,0.86773074,0,nan,0.0,6643,4,0,1,12
423003422,1661229686600360,10944541,-63605813,1068245135,88933,90247,0.21700001,0.6240323,1.25,1.6060001,0.81,1.41,110,12,0.061000004,0.023000002,0.056,0.07,0.86773074,0,nan,0.0,6643,4,0,1,12
424000939,1661229687600362,10944541,-63605818,1068245140,88849,90163,0.264,0.6240383,1.2440001,1.593,0.81,1.41,110,12,0.026,-0.009000001,-0.024,0.1,0.86773074,0,nan,0.0,6643,4,0,1,12
425002424,1661229688600364,10944541,-63605820,1068245140,88705,90020,0.282,0.6240438,1.24,1.5840001,0.81,1.41,110,16,0.044000003,0.004,-0.044000003,0.036000002,0.86773074,0,nan,0.0,6643,4,0,1,12
